game_id,date,home_team,away_team,venue,travel_distance_miles,rest_days_since_last_game,back_to_back,result,score_home,score_away
GAME-00001,2025-10-16,TEAM-04,TEAM-10,Charlotte Arena,774,1,False,L,112,113
GAME-00002,2023-10-04,TEAM-19,TEAM-28,New Orleans Arena,125,2,False,L,99,108
GAME-00003,2025-05-26,TEAM-13,TEAM-08,LA Clippers Arena,892,2,False,W,132,118
GAME-00004,2025-04-16,TEAM-17,TEAM-19,Milwaukee Arena,1490,4,False,L,100,129
GAME-00005,2025-06-30,TEAM-05,TEAM-16,Chicago Arena,1072,2,False,L,91,109
GAME-00006,2024-02-23,TEAM-13,TEAM-07,LA Clippers Arena,805,1,False,L,109,113
GAME-00007,2024-02-18,TEAM-01,TEAM-14,Atlanta Arena,54,4,False,L,101,104
GAME-00008,2023-02-09,TEAM-19,TEAM-05,New Orleans Arena,465,3,False,W,113,92
GAME-00009,2022-03-29,TEAM-14,TEAM-22,LA Lakers Arena,1702,2,False,W,105,86
GAME-00010,2021-12-19,TEAM-25,TEAM-01,Portland Arena,2279,2,False,W,132,108
GAME-00011,2024-10-14,TEAM-27,TEAM-16,San Antonio Arena,1252,1,False,W,103,98
GAME-00012,2022-06-04,TEAM-26,TEAM-07,Sacramento Arena,197,2,False,W,128,127
GAME-00013,2023-06-27,TEAM-27,TEAM-05,San Antonio Arena,1331,1,False,W,116,85
GAME-00014,2023-04-03,TEAM-30,TEAM-16,Washington Arena,467,2,False,W,134,122
GAME-00015,2025-06-02,TEAM-16,TEAM-22,Miami Arena,858,2,False,W,134,128
GAME-00016,2025-01-07,TEAM-11,TEAM-05,Houston Arena,2524,0,True,W,131,127
GAME-00017,2024-03-09,TEAM-28,TEAM-09,Toronto Arena,692,3,False,L,121,132
GAME-00018,2024-01-28,TEAM-09,TEAM-16,Detroit Arena,1904,2,False,L,89,99
GAME-00019,2023-09-08,TEAM-22,TEAM-01,Orlando Arena,2655,1,False,L,113,122
GAME-00020,2022-09-14,TEAM-02,TEAM-30,Boston Arena,1447,1,False,L,86,134
GAME-00021,2024-04-14,TEAM-24,TEAM-16,Phoenix Arena,406,1,False,L,106,135
GAME-00022,2022-11-30,TEAM-16,TEAM-21,Miami Arena,1362,1,False,W,127,93
GAME-00023,2024-04-05,TEAM-09,TEAM-29,Detroit Arena,1583,0,True,W,121,120
GAME-00024,2022-03-02,TEAM-30,TEAM-10,Washington Arena,1505,2,False,L,100,116
GAME-00025,2025-07-26,TEAM-29,TEAM-22,Utah Arena,2178,4,False,W,92,87
GAME-00026,2024-02-28,TEAM-21,TEAM-09,OKC Arena,1472,1,False,W,131,91
GAME-00027,2025-04-30,TEAM-18,TEAM-26,Minnesota Arena,390,0,True,L,87,133
GAME-00028,2023-03-06,TEAM-23,TEAM-01,Philadelphia Arena,123,5,False,W,101,87
GAME-00029,2022-12-30,TEAM-24,TEAM-04,Phoenix Arena,13,2,False,W,104,86
GAME-00030,2022-09-20,TEAM-05,TEAM-29,Chicago Arena,377,2,False,L,103,126
GAME-00031,2025-11-13,TEAM-06,TEAM-17,Cleveland Arena,301,4,False,L,112,133
GAME-00032,2023-10-30,TEAM-14,TEAM-05,LA Lakers Arena,1821,2,False,L,114,130
GAME-00033,2022-08-02,TEAM-23,TEAM-12,Philadelphia Arena,299,1,False,L,111,122
